,Run,Sample Characteristic[cell line],Sample Characteristic Ontology Term[cell line],Sample Characteristic[disease],Sample Characteristic Ontology Term[disease],Sample Characteristic[organism],Sample Characteristic Ontology Term[organism],Factor Value[cell line],Factor Value Ontology Term[cell line],Factor Value[disease],Factor Value Ontology Term[disease],Analysed,organ
CAS-1,run_CAS_1.2,CAS-1,NA,glioblastoma,http://www.ebi.ac.uk/efo/EFO_0000519,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,CAS-1,NA,glioblastoma,http://www.ebi.ac.uk/efo/EFO_0000519,Yes,other
CCF-STTG1,run_CCF_STT1,CCF-STTG1,NA,astrocytoma,http://www.ebi.ac.uk/efo/EFO_0000272,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,CCF-STTG1,NA,astrocytoma,http://www.ebi.ac.uk/efo/EFO_0000272,Yes,other
CCK-81,run_CCK_81.5,CCK-81,NA,colon adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000365,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,CCK-81,NA,colon adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000365,Yes,other
CFPAC-1,run_CFPAC_1.2,CFPAC-1,http://www.ebi.ac.uk/efo/EFO_0006551,pancreatic ductal adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0002517,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,CFPAC-1,http://www.ebi.ac.uk/efo/EFO_0006551,pancreatic ductal adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0002517,Yes,pancreas
CHP-126,run_CHP_126.1,CHP-126,NA,neuroblastoma,http://www.ebi.ac.uk/efo/EFO_0000621,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,CHP-126,NA,neuroblastoma,http://www.ebi.ac.uk/efo/EFO_0000621,Yes,other
CHP-212,run_CHP_212.2,CHP-212,http://www.ebi.ac.uk/efo/EFO_0002133,neuroblastoma,http://www.ebi.ac.uk/efo/EFO_0000621,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,CHP-212,http://www.ebi.ac.uk/efo/EFO_0002133,neuroblastoma,http://www.ebi.ac.uk/efo/EFO_0000621,Yes,other
CI-1,run_CI_1.1,CI-1,http://www.ebi.ac.uk/efo/EFO_0006367,B-cell non-Hodgkins lymphoma,http://www.ebi.ac.uk/efo/EFO_1001938,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,CI-1,http://www.ebi.ac.uk/efo/EFO_0006367,B-cell non-Hodgkins lymphoma,http://www.ebi.ac.uk/efo/EFO_1001938,Yes,other
CJM,run_CJM.1,CJM,NA,melanoma,http://www.ebi.ac.uk/efo/EFO_0000756,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,CJM,NA,melanoma,http://www.ebi.ac.uk/efo/EFO_0000756,Yes,other
CL-11,run_CL_11.1,CL-11,http://www.ebi.ac.uk/efo/EFO_0006368,colon adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000365,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,CL-11,http://www.ebi.ac.uk/efo/EFO_0006368,colon adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000365,Yes,other
CL-14,run_CL_14.1,CL-14,NA,colon adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000365,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,CL-14,NA,colon adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000365,Yes,other
CL-34,run_CL_34.1,CL-34,http://www.ebi.ac.uk/efo/EFO_0006369,colon adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000365,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,CL-34,http://www.ebi.ac.uk/efo/EFO_0006369,colon adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000365,Yes,other
CL-40,run_CL_40.1,CL-40,http://www.ebi.ac.uk/efo/EFO_0006370,colon adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000365,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,CL-40,http://www.ebi.ac.uk/efo/EFO_0006370,colon adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000365,Yes,other
CMK,run_CMK.1,CMK,http://www.ebi.ac.uk/efo/EFO_0003037,childhood acute megakaryoblastic leukemia,http://www.ebi.ac.uk/efo/EFO_1001943,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,CMK,http://www.ebi.ac.uk/efo/EFO_0003037,childhood acute megakaryoblastic leukemia,http://www.ebi.ac.uk/efo/EFO_1001943,Yes,other
CML-T1,run_CML_T1.1,CML-T1,NA,chronic myelogenous leukemia,http://www.ebi.ac.uk/efo/EFO_0000339,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,CML-T1,NA,chronic myelogenous leukemia,http://www.ebi.ac.uk/efo/EFO_0000339,Yes,other
COLO 201,run_COLO_201.1,COLO 201,http://www.ebi.ac.uk/efo/EFO_0002135,colon adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000365,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,COLO 201,http://www.ebi.ac.uk/efo/EFO_0002135,colon adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000365,Yes,other
COLO 668,run_COLO_668.2,COLO 668,NA,small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000702,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,COLO 668,NA,small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000702,Yes,other
COLO 684,run_COLO_684.1,COLO 684,NA,endometrium adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0005232,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,COLO 684,NA,endometrium adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0005232,Yes,other
COLO 741,run_COLO_741.5,COLO 741,http://www.ebi.ac.uk/efo/EFO_0006375,colon adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000365,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,COLO 741,http://www.ebi.ac.uk/efo/EFO_0006375,colon adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000365,Yes,other
COLO 792,run_COLO_792.1,COLO 792,http://www.ebi.ac.uk/efo/EFO_0006377,melanoma,http://www.ebi.ac.uk/efo/EFO_0000756,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,COLO 792,http://www.ebi.ac.uk/efo/EFO_0006377,melanoma,http://www.ebi.ac.uk/efo/EFO_0000756,Yes,other
COLO 829,run_COLO_829.1,COLO 829,http://www.ebi.ac.uk/efo/EFO_0002140,melanoma,http://www.ebi.ac.uk/efo/EFO_0000756,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,COLO 829,http://www.ebi.ac.uk/efo/EFO_0002140,melanoma,http://www.ebi.ac.uk/efo/EFO_0000756,Yes,other
COLO-320,run_COLO_320.1,COLO-320,NA,colon adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000365,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,COLO-320,NA,colon adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000365,Yes,other
COLO-678,run_COLO_678.1,COLO-678,http://www.ebi.ac.uk/efo/EFO_0006371,colon carcinoma,http://www.ebi.ac.uk/efo/EFO_0000365,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,COLO-678,http://www.ebi.ac.uk/efo/EFO_0006371,colon carcinoma,http://www.ebi.ac.uk/efo/EFO_0000365,Yes,other
COLO-679,run_COLO_679.1,COLO-679,http://www.ebi.ac.uk/efo/EFO_0006372,melanoma,http://www.ebi.ac.uk/efo/EFO_0000756,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,COLO-679,http://www.ebi.ac.uk/efo/EFO_0006372,melanoma,http://www.ebi.ac.uk/efo/EFO_0000756,Yes,other
COLO-680N,run_COLO_680N.1,COLO-680N,http://www.ebi.ac.uk/efo/EFO_0006373,esophageal squamous cell carcinoma,http://www.ebi.ac.uk/efo/EFO_0005922,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,COLO-680N,http://www.ebi.ac.uk/efo/EFO_0006373,esophageal squamous cell carcinoma,http://www.ebi.ac.uk/efo/EFO_0005922,Yes,other
COLO-783,run_COLO_783.2,COLO-783,http://www.ebi.ac.uk/efo/EFO_0006376,melanoma,http://www.ebi.ac.uk/efo/EFO_0000756,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,COLO-783,http://www.ebi.ac.uk/efo/EFO_0006376,melanoma,http://www.ebi.ac.uk/efo/EFO_0000756,Yes,other
COLO-800,run_COLO_800.1,COLO-800,http://www.ebi.ac.uk/efo/EFO_0006378,melanoma,http://www.ebi.ac.uk/efo/EFO_0000756,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,COLO-800,http://www.ebi.ac.uk/efo/EFO_0006378,melanoma,http://www.ebi.ac.uk/efo/EFO_0000756,Yes,other
COR-L105,run_COR_L105.1,COR-L105,NA,lung adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000571,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,COR-L105,NA,lung adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000571,Yes,other
COR-L23,run_COR_L23.5,COR-L23,NA,large cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0003050,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,COR-L23,NA,large cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0003050,Yes,other
COR-L24,run_COR_L24.2,COR-L24,NA,small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000702,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,COR-L24,NA,small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000702,Yes,other
COR-L279,run_COR_L279.2,COR-L279,http://www.ebi.ac.uk/efo/EFO_0002143,small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000702,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,COR-L279,http://www.ebi.ac.uk/efo/EFO_0002143,small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000702,Yes,other
COR-L311,run_COR_L311.2,COR-L311,NA,small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000702,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,COR-L311,NA,small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000702,Yes,other
COR-L47,run_COR_L47.1,COR-L47,http://www.ebi.ac.uk/efo/EFO_0006556,small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000702,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,COR-L47,http://www.ebi.ac.uk/efo/EFO_0006556,small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000702,Yes,other
COR-L88,run_COR_L88.2,COR-L88,http://www.ebi.ac.uk/efo/EFO_0002144,small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000702,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,COR-L88,http://www.ebi.ac.uk/efo/EFO_0002144,small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000702,Yes,other
COR-L95,run_COR_L95.1,COR-L95,NA,small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000702,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,COR-L95,NA,small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000702,Yes,other
COV318,run_COV318.2,COV318,http://www.ebi.ac.uk/efo/EFO_0006382,high grade ovarian serous adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1001958,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,COV318,http://www.ebi.ac.uk/efo/EFO_0006382,high grade ovarian serous adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1001958,Yes,other
COV362,run_COV362.2,COV362,http://www.ebi.ac.uk/efo/EFO_0006383,high grade ovarian serous adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1001958,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,COV362,http://www.ebi.ac.uk/efo/EFO_0006383,high grade ovarian serous adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1001958,Yes,other
COV434,run_COV434.2,COV434,http://www.ebi.ac.uk/efo/EFO_0006384,ovarian granulosa cell tumour,http://www.ebi.ac.uk/efo/EFO_0006461,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,COV434,http://www.ebi.ac.uk/efo/EFO_0006384,ovarian granulosa cell tumour,http://www.ebi.ac.uk/efo/EFO_0006461,Yes,other
COV644,run_COV644.1,COV644,http://www.ebi.ac.uk/efo/EFO_0006386,ovarian carcinoma,http://www.ebi.ac.uk/efo/EFO_0001075,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,COV644,http://www.ebi.ac.uk/efo/EFO_0006386,ovarian carcinoma,http://www.ebi.ac.uk/efo/EFO_0001075,Yes,other
CW-2,run_CW_2.1,CW-2,http://www.ebi.ac.uk/efo/EFO_0006560,colon adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000365,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,CW-2,http://www.ebi.ac.uk/efo/EFO_0006560,colon adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000365,Yes,other
Caki-1,run_Caki_1.5,Caki-1,http://www.ebi.ac.uk/efo/EFO_0002149,clear cell renal carcinoma,http://www.ebi.ac.uk/efo/EFO_0000349,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,Caki-1,http://www.ebi.ac.uk/efo/EFO_0002149,clear cell renal carcinoma,http://www.ebi.ac.uk/efo/EFO_0000349,Yes,other
Caki-2,run_Caki_2.1,Caki-2,http://www.ebi.ac.uk/efo/EFO_0002150,papillary renal cell carcinoma,http://www.ebi.ac.uk/efo/EFO_0000640,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,Caki-2,http://www.ebi.ac.uk/efo/EFO_0002150,papillary renal cell carcinoma,http://www.ebi.ac.uk/efo/EFO_0000640,Yes,other
Calu-1,run_Calu_1.2,Calu-1,http://www.ebi.ac.uk/efo/EFO_0002151,squamous cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000708,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,Calu-1,http://www.ebi.ac.uk/efo/EFO_0002151,squamous cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000708,Yes,other
Calu-3,run_Calu_3.1,Calu-3,http://www.ebi.ac.uk/efo/EFO_0002819,lung adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000571,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,Calu-3,http://www.ebi.ac.uk/efo/EFO_0002819,lung adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000571,Yes,other
Calu-6,run_Calu_6.1,Calu-6,http://www.ebi.ac.uk/efo/EFO_0002152,undifferentiated carcinoma,http://www.ebi.ac.uk/efo/EFO_0006772,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,Calu-6,http://www.ebi.ac.uk/efo/EFO_0002152,undifferentiated carcinoma,http://www.ebi.ac.uk/efo/EFO_0006772,Yes,other
Caov-3,run_Caov_3.2,Caov-3,http://www.ebi.ac.uk/efo/EFO_0002148,high grade ovarian serous adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1001958,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,Caov-3,http://www.ebi.ac.uk/efo/EFO_0002148,high grade ovarian serous adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1001958,Yes,other
Caov-4,run_Caov_4.2,Caov-4,NA,high grade ovarian serous adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1001958,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,Caov-4,NA,high grade ovarian serous adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1001958,Yes,other
Capan-1,run_Capan_1.1,Capan-1,http://www.ebi.ac.uk/efo/EFO_0002153,pancreatic ductal adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0002517,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,Capan-1,http://www.ebi.ac.uk/efo/EFO_0002153,pancreatic ductal adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0002517,Yes,pancreas
Capan-2,run_Capan_2.1,Capan-2,http://www.ebi.ac.uk/efo/EFO_0002154,pancreatic ductal adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0002517,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,Capan-2,http://www.ebi.ac.uk/efo/EFO_0002154,pancreatic ductal adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0002517,Yes,pancreas
ChaGo-K-1,run_ChaGo_K_1.1,ChaGo-K-1,http://www.ebi.ac.uk/efo/EFO_0002155,bronchogenic carcinoma,http://www.ebi.ac.uk/efo/EFO_0001071,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,ChaGo-K-1,http://www.ebi.ac.uk/efo/EFO_0002155,bronchogenic carcinoma,http://www.ebi.ac.uk/efo/EFO_0001071,Yes,other
D283 Med,run_D283_Med.1,D283 Med,NA,medulloblastoma,http://www.ebi.ac.uk/efo/EFO_0002939,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,D283 Med,NA,medulloblastoma,http://www.ebi.ac.uk/efo/EFO_0002939,Yes,other
D341 Med,run_D341_Med.1,D341 Med,NA,medulloblastoma,http://www.ebi.ac.uk/efo/EFO_0002939,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,D341 Med,NA,medulloblastoma,http://www.ebi.ac.uk/efo/EFO_0002939,Yes,other
DAN-G,run_DAN_G.5,DAN-G,http://www.ebi.ac.uk/efo/EFO_0006562,pancreatic adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1000044,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,DAN-G,http://www.ebi.ac.uk/efo/EFO_0006562,pancreatic adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1000044,Yes,pancreas
DB,run_DB.2,DB,NA,diffuse large B-cell lymphoma,http://www.ebi.ac.uk/efo/EFO_0000403,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,DB,NA,diffuse large B-cell lymphoma,http://www.ebi.ac.uk/efo/EFO_0000403,Yes,other
DBTRG-05MG,run_DBTRG_05MG.2,DBTRG-05MG,NA,glioblastoma,http://www.ebi.ac.uk/efo/EFO_0000519,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,DBTRG-05MG,NA,glioblastoma,http://www.ebi.ac.uk/efo/EFO_0000519,Yes,other
DEL,run_DEL.1,DEL,NA,anaplastic large cell lymphoma,http://www.ebi.ac.uk/efo/EFO_0003032,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,DEL,NA,anaplastic large cell lymphoma,http://www.ebi.ac.uk/efo/EFO_0003032,Yes,other
DK-MG,run_DK_MG.2,DK-MG,NA,glioblastoma,http://www.ebi.ac.uk/efo/EFO_0000519,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,DK-MG,NA,glioblastoma,http://www.ebi.ac.uk/efo/EFO_0000519,Yes,other
DM-3,run_DM_3.1,DM-3,NA,sarcomatoid mesothelioma,http://www.ebi.ac.uk/efo/EFO_1000521,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,DM-3,NA,sarcomatoid mesothelioma,http://www.ebi.ac.uk/efo/EFO_1000521,Yes,other
DMS 114,run_DMS_114.2,DMS 114,NA,small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000702,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,DMS 114,NA,small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000702,Yes,other
DMS 153,run_DMS_153.2,DMS 153,NA,small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000702,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,DMS 153,NA,small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000702,Yes,other
DMS 273,run_DMS_273.2,DMS 273,http://www.ebi.ac.uk/efo/EFO_0002164,small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000702,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,DMS 273,http://www.ebi.ac.uk/efo/EFO_0002164,small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000702,Yes,other
DMS 454,run_DMS_454.2,DMS 454,http://www.ebi.ac.uk/efo/EFO_0006390,small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000702,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,DMS 454,http://www.ebi.ac.uk/efo/EFO_0006390,small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000702,Yes,other
DMS 53,run_DMS_53.2,DMS 53,http://www.ebi.ac.uk/efo/EFO_0002165,small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000702,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,DMS 53,http://www.ebi.ac.uk/efo/EFO_0002165,small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000702,Yes,other
DMS 79,run_DMS_79.2,DMS 79,http://www.ebi.ac.uk/efo/EFO_0002166,small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000702,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,DMS 79,http://www.ebi.ac.uk/efo/EFO_0002166,small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000702,Yes,other
DND-41,run_DND_41.3,DND-41,http://www.ebi.ac.uk/efo/EFO_0007074,childhood T acute lymphoblastic leukemia,http://www.ebi.ac.uk/efo/EFO_1001947,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,DND-41,http://www.ebi.ac.uk/efo/EFO_0007074,childhood T acute lymphoblastic leukemia,http://www.ebi.ac.uk/efo/EFO_1001947,Yes,other
DOHH-2,run_DOHH_2.1,DOHH-2,http://www.ebi.ac.uk/efo/EFO_0002167,diffuse large B-cell lymphoma,http://www.ebi.ac.uk/efo/EFO_0000403,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,DOHH-2,http://www.ebi.ac.uk/efo/EFO_0002167,diffuse large B-cell lymphoma,http://www.ebi.ac.uk/efo/EFO_0000403,Yes,other
DU 145,run_DU_145.2,DU 145,http://www.ebi.ac.uk/efo/EFO_0005441,prostate carcinoma,http://www.ebi.ac.uk/efo/EFO_0001663,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,DU 145,http://www.ebi.ac.uk/efo/EFO_0005441,prostate carcinoma,http://www.ebi.ac.uk/efo/EFO_0001663,Yes,other
DU4475,run_DU4475.5,DU4475,http://www.ebi.ac.uk/efo/EFO_0002168,breast carcinoma,http://www.ebi.ac.uk/efo/EFO_0000305,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,DU4475,http://www.ebi.ac.uk/efo/EFO_0002168,breast carcinoma,http://www.ebi.ac.uk/efo/EFO_0000305,Yes,breast
DV-90,run_DV_90.1,DV-90,http://www.ebi.ac.uk/efo/EFO_0006565,lung adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000571,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,DV-90,http://www.ebi.ac.uk/efo/EFO_0006565,lung adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000571,Yes,other
Daoy,run_Daoy.2,Daoy,http://www.ebi.ac.uk/efo/EFO_0005698,desmoplastic medulloblastoma,http://www.ebi.ac.uk/efo/EFO_0005699,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,Daoy,http://www.ebi.ac.uk/efo/EFO_0005698,desmoplastic medulloblastoma,http://www.ebi.ac.uk/efo/EFO_0005699,Yes,other
Daudi,run_Daudi.1,Daudi,http://www.ebi.ac.uk/efo/EFO_0002169,Burkitts lymphoma,http://www.ebi.ac.uk/efo/EFO_0000309,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,Daudi,http://www.ebi.ac.uk/efo/EFO_0002169,Burkitts lymphoma,http://www.ebi.ac.uk/efo/EFO_0000309,Yes,other
Detroit 562,run_Detroit_562.1,Detroit 562,http://www.ebi.ac.uk/efo/EFO_0002170,pharyngeal squamous cell carcinoma,http://www.ebi.ac.uk/efo/EFO_1001965,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,Detroit 562,http://www.ebi.ac.uk/efo/EFO_0002170,pharyngeal squamous cell carcinoma,http://www.ebi.ac.uk/efo/EFO_1001965,Yes,other
EB1,run_EB1.5,EB1,http://www.ebi.ac.uk/efo/EFO_0002172,Burkitts lymphoma,http://www.ebi.ac.uk/efo/EFO_0000309,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,EB1,http://www.ebi.ac.uk/efo/EFO_0002172,Burkitts lymphoma,http://www.ebi.ac.uk/efo/EFO_0000309,Yes,other
EBC-1,run_EBC_1.1,EBC-1,http://www.ebi.ac.uk/efo/EFO_0003115,squamous cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000708,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,EBC-1,http://www.ebi.ac.uk/efo/EFO_0003115,squamous cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000708,Yes,other
EC-GI-10,run_EC_GI_10.1,EC-GI-10,NA,esophageal squamous cell carcinoma,http://www.ebi.ac.uk/efo/EFO_0005922,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,EC-GI-10,NA,esophageal squamous cell carcinoma,http://www.ebi.ac.uk/efo/EFO_0005922,Yes,other
ECC10,run_ECC10.1,ECC10,NA,gastric small cell neuroendocrine carcinoma,http://www.ebi.ac.uk/efo/EFO_1000277,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,ECC10,NA,gastric small cell neuroendocrine carcinoma,http://www.ebi.ac.uk/efo/EFO_1000277,Yes,other
ECC12,run_ECC12.1,ECC12,NA,gastric small cell neuroendocrine carcinoma,http://www.ebi.ac.uk/efo/EFO_1000277,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,ECC12,NA,gastric small cell neuroendocrine carcinoma,http://www.ebi.ac.uk/efo/EFO_1000277,Yes,other
EFE-184,run_EFE_184.2,EFE-184,NA,endometrial carcinoma,NA,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,EFE-184,NA,endometrial carcinoma,NA,Yes,other
EFM-19,run_EFM_19.2,EFM-19,http://www.ebi.ac.uk/efo/EFO_0002175,breast ductal adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000430,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,EFM-19,http://www.ebi.ac.uk/efo/EFO_0002175,breast ductal adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000430,Yes,breast
EFM-192A,run_EFM_192A.1,EFM-192A,http://www.ebi.ac.uk/efo/EFO_0006568,breast carcinoma,http://www.ebi.ac.uk/efo/EFO_0000305,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,EFM-192A,http://www.ebi.ac.uk/efo/EFO_0006568,breast carcinoma,http://www.ebi.ac.uk/efo/EFO_0000305,Yes,breast
